wine_tube_id,id,ts_sum_id,micro_id,year,tank,tank_letter,tank_letter,brix,hr,rootstock,ava_id,ava,nutristart,dap,initial_brix,initial_ph,initial_TA,initial_nopa,initial_nh3,initial_yan,initial_tso2,initial_MA,lon,lat,total_gdd_c,total_gdd_f,total_ppt
17-34-5,2017_SNC1_34_5,2017_SNC1_34,2017_SNC1_B,2017,34,B,b,1,111.75,101_14,SNC1,SNC,yes,no,26.5,3.6,4.15,129,104,212,10.61,1900,0,0,1461.524004,2630.743208,1287.343969
17-37-1,2017_SRH1_37_1,2017_SRH1_37,2017_SRH1_A,2017,37,A,a,16.1,16.17,101_14,SRH1,SRH,no,no,22.4,3.57,5.38,123,38,153.4,13.35,1343,0,0,1347.635001,2425.743002,520.6029949
17-37-2,2017_SRH1_37_2,2017_SRH1_37,2017_SRH1_A,2017,37,A,a,7.8,39.83,101_14,SRH1,SRH,yes,yes,22.4,3.57,5.38,123,38,153.4,13.35,1343,0,0,1347.635001,2425.743002,520.6029949
17-37-3,2017_SRH1_37_3,2017_SRH1_37,2017_SRH1_A,2017,37,A,a,2.3,63.92,101_14,SRH1,SRH,yes,yes,22.4,3.57,5.38,123,38,153.4,13.35,1343,0,0,1347.635001,2425.743002,520.6029949
17-37-4,2017_SRH1_37_4,2017_SRH1_37,2017_SRH1_A,2017,37,A,a,-0.7,88,101_14,SRH1,SRH,yes,yes,22.4,3.57,5.38,123,38,153.4,13.35,1343,0,0,1347.635001,2425.743002,520.6029949
17-37-5,2017_SRH1_37_5,2017_SRH1_37,2017_SRH1_A,2017,37,A,a,-1.1,112.33,101_14,SRH1,SRH,yes,yes,22.4,3.57,5.38,123,38,153.4,13.35,1343,0,0,1347.635001,2425.743002,520.6029949
17-40-1,2017_SRH1_40_1,2017_SRH1_40,2017_SRH1_D,2017,40,D,d,16.3,16.17,101_14,SRH1,SRH,no,no,22.6,3.61,5.04,131,38,161.4,14.55,1370,0,0,1347.635001,2425.743002,520.6029949
17-40-2,2017_SRH1_40_2,2017_SRH1_40,2017_SRH1_D,2017,40,D,d,8,39.83,101_14,SRH1,SRH,yes,yes,22.6,3.61,5.04,131,38,161.4,14.55,1370,0,0,1347.635001,2425.743002,520.6029949
17-40-3,2017_SRH1_40_3,2017_SRH1_40,2017_SRH1_D,2017,40,D,d,2,63.92,101_14,SRH1,SRH,yes,yes,22.6,3.61,5.04,131,38,161.4,14.55,1370,0,0,1347.635001,2425.743002,520.6029949
17-40-4,2017_SRH1_40_4,2017_SRH1_40,2017_SRH1_D,2017,40,D,d,-1,88,101_14,SRH1,SRH,yes,yes,22.6,3.61,5.04,131,38,161.4,14.55,1370,0,0,1347.635001,2425.743002,520.6029949
17-40-5,2017_SRH1_40_5,2017_SRH1_40,2017_SRH1_D,2017,40,D,d,-1.1,112.33,101_14,SRH1,SRH,yes,yes,22.6,3.61,5.04,131,38,161.4,14.55,1370,0,0,1347.635001,2425.743002,520.6029949
17-42-1,2017_AV1_42_1,2017_AV1_42,2017_AV1_B,2017,42,B,b,22.5,16.25,101_14,AV1,AV,no,no,23.3,3.6,4.59,151,59,198.2,7.44,2420,0,0,1511.013005,2719.823409,1157.820994
17-42-2,2017_AV1_42_2,2017_AV1_42,2017_AV1_B,2017,42,B,b,14,39.42,101_14,AV1,AV,yes,yes,23.3,3.6,4.59,151,59,198.2,7.44,2420,0,0,1511.013005,2719.823409,1157.820994
17-42-3,2017_AV1_42_3,2017_AV1_42,2017_AV1_B,2017,42,B,b,5.7,64.58,101_14,AV1,AV,yes,yes,23.3,3.6,4.59,151,59,198.2,7.44,2420,0,0,1511.013005,2719.823409,1157.820994
17-42-4,2017_AV1_42_4,2017_AV1_42,2017_AV1_B,2017,42,B,b,0,88.5,101_14,AV1,AV,yes,yes,23.3,3.6,4.59,151,59,198.2,7.44,2420,0,0,1511.013005,2719.823409,1157.820994
17-42-5,2017_AV1_42_5,2017_AV1_42,2017_AV1_B,2017,42,B,b,-1.2,112.5,101_14,AV1,AV,yes,yes,23.3,3.6,4.59,151,59,198.2,7.44,2420,0,0,1511.013005,2719.823409,1157.820994
17-44-1,2017_AV1_44_1,2017_AV1_44,2017_AV1_D,2017,44,D,d,22.4,16.25,101_14,AV1,AV,no,no,23.4,3.62,4.55,157,53,199.4,NA,2451,0,0,1511.013005,2719.823409,1157.820994
17-44-2,2017_AV1_44_2,2017_AV1_44,2017_AV1_D,2017,44,D,d,14,39.42,101_14,AV1,AV,yes,yes,23.4,3.62,4.55,157,53,199.4,NA,2451,0,0,1511.013005,2719.823409,1157.820994
17-44-3,2017_AV1_44_3,2017_AV1_44,2017_AV1_D,2017,44,D,d,5.6,64.58,101_14,AV1,AV,yes,yes,23.4,3.62,4.55,157,53,199.4,NA,2451,0,0,1511.013005,2719.823409,1157.820994
17-44-4,2017_AV1_44_4,2017_AV1_44,2017_AV1_D,2017,44,D,d,-0.3,88.5,101_14,AV1,AV,yes,yes,23.4,3.62,4.55,157,53,199.4,NA,2451,0,0,1511.013005,2719.823409,1157.820994
17-44-5,2017_AV1_44_5,2017_AV1_44,2017_AV1_D,2017,44,D,d,-1.2,112.5,101_14,AV1,AV,yes,yes,23.4,3.62,4.55,157,53,199.4,NA,2451,0,0,1511.013005,2719.823409,1157.820994
17- 46-1,2017_RRV3_46_1,2017_RRV3_46,2017_RRV3_B,2017,46,B,b,22.3,15.5,3309C,RRV3,RRV,no,no,22.3,3.53,4.81,143,30,117.93,10.52,1878,0,0,1310.375503,2358.675905,1005.127
17- 46-2,2017_RRV3_46_2,2017_RRV3_46,2017_RRV3_B,2017,46,B,b,14,40.58,3309C,RRV3,RRV,yes,yes,22.3,3.53,4.81,143,30,117.93,10.52,1878,0,0,1310.375503,2358.675905,1005.127
17- 46-3,2017_RRV3_46_3,2017_RRV3_46,2017_RRV3_B,2017,46,B,b,4.4,64.75,3309C,RRV3,RRV,yes,yes,22.3,3.53,4.81,143,30,117.93,10.52,1878,0,0,1310.375503,2358.675905,1005.127
17- 46-4,2017_RRV3_46_4,2017_RRV3_46,2017_RRV3_B,2017,46,B,b,-0.6,88.67,3309C,RRV3,RRV,yes,yes,22.3,3.53,4.81,143,30,117.93,10.52,1878,0,0,1310.375503,2358.675905,1005.127
17- 46-5,2017_RRV3_46_5,2017_RRV3_46,2017_RRV3_B,2017,46,B,b,-0.8,111.25,3309C,RRV3,RRV,yes,yes,22.3,3.53,4.81,143,30,117.93,10.52,1878,0,0,1310.375503,2358.675905,1005.127
17-47-1,2017_RRV3_47_1,2017_RRV3_47,2017_RRV3_C,2017,47,C,c,22.4,15.5,3309C,RRV3,RRV,no,no,22.3,3.51,4.8,143,37,117.91,11.63,1919,0,0,1310.375503,2358.675905,1005.127
